qid	len_fileA	len_fileB	min_len
214771	7	6	6
870693	8	8	8
996042	7	6	6
992224	9	7	7
1102325	7	9	7
203039	6	6	6
661945	9	12	9
594105	6	6	6
1084555	7	8	7
575407	7	6	6
1100218	8	8	8
997935	6	6	6
88577	8	7	7
760367	10	7	7
954307	6	8	6
635079	6	6	6
1021679	12	8	8
998609	7	6	6
1099482	8	9	8
51276	7	8	7
558046	6	8	6
993821	12	8	8
277799	6	6	6
657974	7	7	7
1095971	7	6	6
1072874	13	6	6
1021532	11	12	11
1091983	9	7	7
1087076	9	8	8
1084755	7	8	7
266760	9	9	9
1003445	6	6	6
907127	10	10	10
1096541	7	6	6
893275	13	10	10
165002	9	9	9
913568	7	8	7
1100839	6	7	6
632455	7	8	7
157149	12	13	12
1101296	8	6	6
804103	7	7	7
1072500	7	6	6
305333	8	6	6
307008	6	8	6
1096866	6	6	6
649200	6	7	6
1004921	9	8	8
1003329	6	7	6
290585	13	9	9
1096619	9	9	9
550331	8	9	8
80590	9	10	9
1019602	6	6	6
1002889	6	6	6
844390	7	6	6
1086384	10	7	7
307005	6	7	6
144285	9	6	6
1008911	8	8	8
1095332	8	9	8
1085760	12	15	12
1101228	6	7	6
407131	10	9	9
283344	8	9	8
1096180	10	7	7
1034595	7	6	6
254652	12	8	8
21793	6	6	6
810394	10	7	7
912234	10	9	9
291248	9	7	7
1065118	6	8	6
1026372	7	6	6
1000006	9	8	8
1036005	8	9	8
1049221	7	6	6
985158	8	8	8
942915	6	7	6
1089760	9	10	9
1090399	8	7	7
1033962	7	7	7
257018	10	9	9
968608	10	12	10
390484	6	6	6
1032074	6	6	6
1021907	10	9	9
824542	7	6	6
832790	10	12	10
1096840	13	11	11
1041043	12	8	8
1087967	8	7	7
622734	6	6	6
1097469	11	13	11
1093941	9	10	9
374690	7	6	6
375891	7	7	7
984434	8	8	8
1056644	7	13	7
1097619	9	6	6
547820	6	7	6
1099626	15	8	8
242103	9	8	8
618818	9	6	6
1096021	9	8	8
1098787	7	7	7
968004	9	6	6
1097213	8	6	6
1009109	11	8	8
567895	11	6	6
685091	8	7	7
78076	7	9	7
813899	10	8	8
1096207	10	8	8
5925	9	7	7
885153	9	8	8
1040238	10	7	7
823596	7	7	7
361620	8	6	6
2235	7	7	7
1101902	8	8	8
244821	7	7	7
136700	6	6	6
1083627	6	8	6
331141	7	7	7
686541	9	7	7
225499	6	6	6
244092	6	7	6
1022712	7	11	7
1095856	9	8	8
1096964	7	6	6
1077006	6	9	6
1003973	6	8	6
733591	6	6	6
223165	7	6	6
1000959	10	7	7
1069108	7	7	7
1016869	7	8	7
1097066	10	10	10
828588	7	6	6
50833	6	7	6
991138	6	7	6
424408	7	10	7
1089177	6	7	6
371204	7	7	7
583234	8	8	8
1096830	7	7	7
930621	9	8	8
511417	6	7	6
624176	7	7	7
775457	6	6	6
278658	9	11	9
599720	11	12	11
822642	7	7	7
932878	10	9	9
988915	10	8	8
883861	6	6	6
73094	11	14	11
1087915	7	6	6
1016583	7	7	7
79891	8	10	8
25534	8	8	8
898318	6	6	6
1025483	9	7	7
1008515	9	10	9
412319	8	11	8
1096025	8	7	7
473361	8	6	6
1016943	9	8	8
510158	8	8	8
1009959	9	11	9
176744	8	9	8
517516	7	6	6
926436	7	9	7
1092870	6	8	6
944194	6	6	6
994449	12	17	12
887395	6	8	6
632923	8	7	7
870861	8	7	7
594930	11	8	8
870875	7	6	6
891498	8	8	8
915762	8	8	8
1020710	7	7	7
1071061	8	9	8
1093462	6	7	6
868919	9	9	9
75266	6	8	6
237373	7	7	7
1082448	11	10	10
1035247	8	6	6
845892	11	9	9
888777	6	7	6
495082	6	6	6
342115	7	7	7
692955	9	7	7
1101236	6	7	6
958142	6	7	6
270520	7	6	6
1062603	6	7	6
703268	8	6	6
633635	6	6	6
1098806	8	8	8
414714	14	7	7
882002	6	7	6
423178	7	7	7
424045	10	11	10
1010700	7	8	7
261098	7	6	6
222954	8	6	6
1070867	13	15	13
568649	8	8	8
326629	10	9	9
341736	8	11	8
581521	11	7	7
665231	7	7	7
827801	6	9	6
286915	8	6	6
585344	12	12	12
1005653	7	8	7
994688	11	11	11
1097796	9	8	8
960302	9	11	9
188714	7	7	7
1096252	8	7	7
917489	6	6	6
1062350	7	6	6
842108	11	7	7
1083150	6	8	6
421437	7	8	7
808716	7	9	7
231298	10	8	8
414155	12	9	9
6217	9	9	9
822585	7	6	6
298444	10	8	8
993834	17	16	16
679878	8	8	8
1094191	8	7	7
31222	6	6	6
1052985	6	6	6
234651	7	9	7
1098355	7	9	7
554738	6	6	6
437291	6	6	6
1039361	7	6	6
1098013	9	8	8
1037116	7	6	6
1035078	8	6	6
1069474	6	6	6
1087766	6	6	6
1091749	6	8	6
997648	9	6	6
900924	15	15	15
780215	7	8	7
1088347	6	6	6
171527	6	7	6
988745	7	7	7
1000678	6	6	6
428113	11	11	11
864905	11	11	11
231109	10	9	9
414733	13	10	10
74759	6	8	6
1094575	8	7	7
928753	12	15	12
1098010	9	7	7
169305	6	8	6
374799	10	7	7
62055	7	9	7
569674	8	7	7
1086874	7	6	6
1007691	17	18	17
155700	7	6	6
993748	10	8	8
1086974	12	13	12
1063607	6	6	6
998062	7	6	6
255633	10	8	8
988119	8	8	8
1084982	7	7	7
376537	7	7	7
1085139	6	6	6
664194	6	10	6
426622	8	8	8
1080555	7	7	7
1051755	7	7	7
1098698	11	9	9
1096788	10	7	7
885081	8	9	8
340006	6	7	6
735384	6	6	6
1094605	8	6	6
80712	9	11	9
1010670	7	9	7
701390	7	7	7
319564	6	6	6
1090364	9	8	8
400311	9	7	7
1086224	6	6	6
298940	11	9	9
613694	7	8	7
166043	7	10	7
1096886	8	11	8
